world_size,uav + ugv,headless,cpu,memory,memory_percent,speed_up
small,60,False,24.95,552.99,1.6875863075256348,166.55819313228474
small,60,True,13.225,344.06,1.0499954223632812,236.51657639952316
small,90,False,25.65,552.36,1.6856789588928223,117.8351041880256
small,90,True,13.25,345.66,1.0548830032348633,159.71351206314034
small,120,False,25.65,551.45,1.682889461517334,88.33014994175232
small,120,True,13.3875,344.21,1.0504603385925293,126.56439588588763
small,150,False,25.5375,554.43,1.6919732093811035,67.61208362598937
small,150,True,13.3,346.8,1.058351993560791,101.47578911543245
small,180,False,25.5875,541.46,1.6523957252502441,56.42795530713433
small,180,True,13.275,345.55,1.054525375366211,79.26561571072784
small,210,False,24.6375,552.34,1.6855955123901367,39.4318172179603
small,210,True,13.275,348.23,1.0627269744873047,67.83392873821766
medium,60,False,25.525,583.8,1.781618595123291,168.5559451449239
medium,60,True,13.375,377.72,1.1527061462402344,210.07817100058705
medium,90,False,25.75,581.18,1.7736196517944336,116.55833816314798
medium,90,True,13.3,370.55,1.130819320678711,149.47427556160102
medium,120,False,25.7125,585.29,1.7861485481262207,88.03541004421872
medium,120,True,13.225,377.49,1.1520147323608398,114.12869091444004
medium,150,False,25.725,578.87,1.7665743827819824,68.11261972968923
medium,150,True,13.25,366.1,1.117241382598877,93.77508747384309
medium,180,False,25.0125,591.94,1.8064498901367188,57.29582171163594
medium,180,True,13.2625,374.47,1.1427879333496094,74.2768782688054
medium,210,False,25.2375,586.22,1.7890095710754395,38.01889620576615
medium,210,True,13.3,377.84,1.1530876159667969,67.66009319569724
large,60,False,25.2125,627.57,1.9151926040649414,109.86116901881894
large,60,True,13.375,412.77,1.2596607208251953,221.1767000725687
large,90,False,25.125,618.97,1.8889546394348145,74.97398187690035
large,90,True,13.3,391.88,1.1959314346313477,152.43350175626884
large,120,False,25.175,617.72,1.8851399421691895,78.25093556282583
large,120,True,13.2875,408.77,1.2474656105041504,119.76687459247503
large,150,False,25.4875,628.39,1.917707920074463,61.47837849959322
large,150,True,13.4,402.55,1.228475570678711,93.01036279855926
large,180,False,25.1,629.32,1.9205331802368164,37.47509570702522
large,180,True,13.4875,406.2,1.239621639251709,74.87986789248495
large,210,False,25.1,632.16,1.9291877746582031,35.561312569159746
large,210,True,13.2625,399.48,1.2191057205200195,64.70025021277544
