world_size,uav + ugv,headless,cpu,memory,memory_percent,speed_up
small,60,False,25.5125,552.8,1.687002182006836,168.77199786047854
small,60,True,13.2625,343.19,1.0473251342773438,222.77436676570912
small,90,False,25.5375,552.21,1.6852140426635742,115.43799094404248
small,90,True,13.2625,343.06,1.0469436645507812,145.91341540014525
small,120,False,22.575,550.34,1.6795158386230469,66.13243103165003
small,120,True,13.2375,347.34,1.0599851608276367,114.6948390607718
small,150,False,25.15,553.96,1.6905546188354492,53.73667177481257
small,150,True,13.4375,343.26,1.0475397109985352,97.43617033268887
small,180,False,25.6375,551.54,1.6831517219543457,58.14433953845255
small,180,True,13.3875,343.28,1.0475993156433105,81.19189634177312
small,210,False,25.6,553.6,1.689457893371582,48.48726622850473
small,210,True,13.375,348.61,1.063859462738037,70.08133154922137
medium,60,False,25.525,581.68,1.7751336097717285,169.69256469419548
medium,60,True,13.2875,370.4,1.130378246307373,224.27980005306188
medium,90,False,25.5625,584.19,1.7827987670898438,115.28310065904809
medium,90,True,13.3375,369.93,1.1289358139038086,160.49563044883388
medium,120,False,25.6,580.77,1.7723560333251953,87.40833803080635
medium,120,True,13.2875,367.92,1.1227965354919434,119.80162289969721
medium,150,False,25.55,579.17,1.7674922943115234,67.07851624185541
medium,150,True,13.4125,375.59,1.1461973190307617,97.33416848293749
medium,180,False,25.625,589.12,1.7978668212890625,57.36616006024299
medium,180,True,13.35,380.03,1.1597633361816406,82.31414225917815
medium,210,False,25.6125,591.57,1.8053293228149414,49.390719773816386
medium,210,True,13.325,374.42,1.1426448822021484,71.1605591896457
large,60,False,25.6125,622.79,1.9006013870239258,166.28272941855275
large,60,True,13.2875,408.59,1.2469291687011719,227.1342319263753
large,90,False,25.6375,617.34,1.8839836120605469,115.8416679664711
large,90,True,13.25,407.07,1.2422680854797363,159.77839186156717
large,120,False,25.55,619.23,1.8897533416748047,88.91407652163709
large,120,True,13.2625,393.52,1.2009143829345703,123.56087342820025
large,150,False,25.525,620.69,1.8941998481750488,66.59443511875794
large,150,True,13.275,396.77,1.2108445167541504,98.86143599145831
large,180,False,25.55,624.09,1.9045710563659668,57.82325529257151
large,180,True,13.2875,417.24,1.2733221054077148,83.4792663389675
large,210,False,25.5875,633.51,1.9333124160766602,49.20505337102995
large,210,True,13.4875,413.48,1.2618422508239746,70.22281010354835
