world_size,uav + ugv,headless,cpu,memory,memory_percent,speed_up
small,60,False,25.575,550.36,1.6795754432678223,169.97960643642904
small,60,True,13.25,347.94,1.0618329048156738,232.66164797274985
small,90,False,25.6375,548.58,1.6741275787353516,118.21585133963515
small,90,True,13.3,345.65,1.054835319519043,162.4026972970072
small,120,False,25.5875,553.04,1.6877532005310059,88.69134407144642
small,120,True,13.325,344.52,1.0513901710510254,125.03015518889927
small,150,False,25.6,553.5,1.689159870147705,67.03809929429396
small,150,True,13.3625,342.32,1.0446906089782715,101.54623566646796
small,180,False,25.5875,554.16,1.6911745071411133,60.00130825025731
small,180,True,13.2625,347.45,1.060318946838379,84.15823208252948
small,210,False,25.7,550.84,1.6810178756713867,51.35901334107127
small,210,True,13.425,342.66,1.0457038879394531,73.42721645436707
medium,60,False,25.675,580.35,1.771080493927002,164.68393913528865
medium,60,True,13.35,360.18,1.0991811752319336,226.859011452742
medium,90,False,25.55,586.89,1.791059970855713,113.81848321970762
medium,90,True,13.275,371.16,1.1327028274536133,159.24713568771102
medium,120,False,25.65,582.18,1.7766714096069336,86.0499753905171
medium,120,True,13.2875,373.87,1.1409521102905273,123.98845413462757
medium,150,False,25.65,592.72,1.8088340759277344,66.78430278315004
medium,150,True,13.2625,378.97,1.1565327644348145,99.27488042332978
medium,180,False,25.6,583.26,1.7799735069274902,57.02772619364271
medium,180,True,13.2625,369.6,1.127934455871582,83.45998844222068
medium,210,False,25.725,584.57,1.7839789390563965,49.104257104989486
medium,210,True,13.2875,375.64,1.1463642120361328,71.63110720057907
large,60,False,25.575,616.36,1.880967617034912,169.75425186109257
large,60,True,13.3,403.53,1.2314677238464355,226.1703398160963
large,90,False,25.55,629.82,1.9220590591430664,117.63521756098481
large,90,True,13.1875,394.32,1.2033700942993164,160.82713709481789
large,120,False,25.45,624.23,1.9050002098083496,72.90716614481677
large,120,True,13.325,401.01,1.2237787246704102,122.90675179266026
large,150,False,25.55,624.12,1.9046783447265625,66.93979395183874
large,150,True,13.225,410.25,1.251983642578125,99.1789326804118
large,180,False,25.5375,637.87,1.9466161727905273,53.90237498342908
large,180,True,13.4375,405.17,1.2364864349365234,80.94725563318318
large,210,False,25.5375,627.31,1.9143939018249512,32.2334498690914
large,210,True,13.35,409.35,1.249241828918457,66.47377969378289
